show,description
The Farnsworth Invention,"The show 'The Farnsworth Invention' ran from 2007-10-21 to 2008-03-02. It had an average weekly revenue of $225,626.75 and a total revenue of $4,512,535.00."
A Bronx Tale,"The show 'A Bronx Tale' ran from 2007-10-07 to 2008-02-24. It had an average weekly revenue of $232,770.10 and a total revenue of $4,888,172.00."
The 25th Annual Putnam County Spelling Bee,"The show 'The 25th Annual Putnam County Spelling Bee' ran from 2005-04-17 to 2008-01-20. It had an average weekly revenue of $314,445.83 and a total revenue of $45,280,200.00."
Cymbeline,"The show 'Cymbeline' ran from 2007-11-04 to 2008-01-06. It had an average weekly revenue of $208,000.10 and a total revenue of $2,080,001.00."
Dr. Seuss' How the Grinch Stole Christmas!,"The show 'Dr. Seuss' How the Grinch Stole Christmas!' ran from 2006-10-29 to 2008-01-06. It had an average weekly revenue of $1,090,635.67 and a total revenue of $22,903,349.00."
The Drowsy Chaperone,"The show 'The Drowsy Chaperone' ran from 2006-04-09 to 2007-12-30. It had an average weekly revenue of $697,302.40 and a total revenue of $62,059,914.00."
Pygmalion,"The show 'Pygmalion' ran from 1987-04-19 to 2007-12-16. It had an average weekly revenue of $210,402.36 and a total revenue of $5,891,266.00."
The Ritz,"The show 'The Ritz' ran from 2007-09-16 to 2007-12-09. It had an average weekly revenue of $264,502.77 and a total revenue of $3,438,536.00."
Mauritius,"The show 'Mauritius' ran from 2007-09-16 to 2007-11-25. It had an average weekly revenue of $208,540.73 and a total revenue of $2,293,948.00."
The Year of Magical Thinking,"The show 'The Year of Magical Thinking' ran from 2007-03-11 to 2007-08-26. It had an average weekly revenue of $303,886.12 and a total revenue of $7,293,267.00."
Deuce,"The show 'Deuce' ran from 2007-04-15 to 2007-08-19. It had an average weekly revenue of $282,196.79 and a total revenue of $5,361,739.00."
Frost/Nixon,"The show 'Frost/Nixon' ran from 2007-04-01 to 2007-08-19. It had an average weekly revenue of $447,391.76 and a total revenue of $9,395,227.00."
Old Acquaintance,"The show 'Old Acquaintance' ran from 2007-06-03 to 2007-08-19. It had an average weekly revenue of $150,788.50 and a total revenue of $1,809,462.00."
110 in the Shade,"The show '110 in the Shade' ran from 2007-04-15 to 2007-07-29. It had an average weekly revenue of $323,082.12 and a total revenue of $5,169,314.00."
Beauty and the Beast,"The show 'Beauty and the Beast' ran from 1994-03-13 to 2007-07-29. It had an average weekly revenue of $622,473.05 and a total revenue of $424,526,617.00."
Grey Gardens,"The show 'Grey Gardens' ran from 2006-10-08 to 2007-07-29. It had an average weekly revenue of $407,976.28 and a total revenue of $17,542,980.00."
Inherit the Wind,"The show 'Inherit the Wind' ran from 1996-03-03 to 2007-07-08. It had an average weekly revenue of $358,841.00 and a total revenue of $9,688,707.00."
Tarzan,"The show 'Tarzan' ran from 2006-03-26 to 2007-07-08. It had an average weekly revenue of $628,277.32 and a total revenue of $42,722,858.00."
Radio Golf,"The show 'Radio Golf' ran from 2007-04-22 to 2007-07-01. It had an average weekly revenue of $165,975.91 and a total revenue of $1,825,735.00."
Lovemusik,"The show 'Lovemusik' ran from 2007-04-15 to 2007-06-24. It had an average weekly revenue of $226,793.00 and a total revenue of $2,494,723.00."
Talk Radio,"The show 'Talk Radio' ran from 2007-02-18 to 2007-06-24. It had an average weekly revenue of $238,940.67 and a total revenue of $4,300,932.00."
The Pirate Queen,"The show 'The Pirate Queen' ran from 2007-03-11 to 2007-06-17. It had an average weekly revenue of $603,635.93 and a total revenue of $9,054,539.00."
Journey's End,"The show 'Journey's End' ran from 2007-02-11 to 2007-06-10. It had an average weekly revenue of $139,713.83 and a total revenue of $2,514,849.00."
A Moon for the Misbegotten,"The show 'A Moon for the Misbegotten' ran from 2000-03-12 to 2007-06-10. It had an average weekly revenue of $402,384.54 and a total revenue of $11,266,767.00."
Coram Boy,"The show 'Coram Boy' ran from 2007-04-22 to 2007-05-27. It had an average weekly revenue of $267,061.67 and a total revenue of $1,602,370.00."
The Coast of Utopia,"The show 'The Coast of Utopia' ran from 2006-10-22 to 2007-05-13. It had an average weekly revenue of $413,603.11 and a total revenue of $11,580,887.00."
Prelude to a Kiss,"The show 'Prelude to a Kiss' ran from 1990-04-29 to 2007-04-29. It had an average weekly revenue of $112,666.11 and a total revenue of $7,435,963.00."
The Producers,"The show 'The Producers' ran from 2001-03-25 to 2007-04-22. It had an average weekly revenue of $906,877.29 and a total revenue of $286,573,224.00."
The Apple Tree,"The show 'The Apple Tree' ran from 2006-12-03 to 2007-03-11. It had an average weekly revenue of $318,501.53 and a total revenue of $4,777,523.00."
Translations,"The show 'Translations' ran from 1995-03-12 to 2007-03-11. It had an average weekly revenue of $205,094.73 and a total revenue of $3,076,421.00."
The Vertical Hour,"The show 'The Vertical Hour' ran from 2006-11-12 to 2007-03-11. It had an average weekly revenue of $406,048.61 and a total revenue of $7,308,875.00."
The Little Dog Laughed,"The show 'The Little Dog Laughed' ran from 2006-10-29 to 2007-02-18. It had an average weekly revenue of $196,820.94 and a total revenue of $3,345,956.00."
Butley,"The show 'Butley' ran from 2006-10-08 to 2007-01-14. It had an average weekly revenue of $361,615.80 and a total revenue of $5,424,237.00."
Martin Short: Fame Becomes Me,"The show 'Martin Short: Fame Becomes Me' ran from 2006-07-30 to 2007-01-07. It had an average weekly revenue of $451,771.92 and a total revenue of $10,842,526.00."
The Wedding Singer,"The show 'The Wedding Singer' ran from 2006-04-02 to 2006-12-31. It had an average weekly revenue of $495,793.51 and a total revenue of $19,335,947.00."
Heartbreak House,"The show 'Heartbreak House' ran from 2006-09-17 to 2006-12-17. It had an average weekly revenue of $226,983.14 and a total revenue of $3,177,764.00."
High Fidelity,"The show 'High Fidelity' ran from 2006-11-26 to 2006-12-17. It had an average weekly revenue of $274,029.00 and a total revenue of $1,096,116.00."
Jay Johnson: The Two and Only,"The show 'Jay Johnson: The Two and Only' ran from 2006-09-24 to 2006-11-26. It had an average weekly revenue of $58,701.10 and a total revenue of $587,011.00."
Losing Louie,"The show 'Losing Louie' ran from 2006-09-24 to 2006-11-26. It had an average weekly revenue of $154,801.10 and a total revenue of $1,548,011.00."
The Times They Are A-Changin',"The show 'The Times They Are A-Changin'' ran from 2006-10-01 to 2006-11-19. It had an average weekly revenue of $329,520.12 and a total revenue of $2,636,161.00."
The History Boys,"The show 'The History Boys' ran from 2006-04-16 to 2006-10-01. It had an average weekly revenue of $671,000.08 and a total revenue of $16,775,002.00."
Kiki & Herb: Alive on Broadway,"The show 'Kiki & Herb: Alive on Broadway' ran from 2006-08-13 to 2006-09-10. It had an average weekly revenue of $123,936.00 and a total revenue of $619,680.00."
Dirty Rotten Scoundrels,"The show 'Dirty Rotten Scoundrels' ran from 2005-02-06 to 2006-09-03. It had an average weekly revenue of $699,203.19 and a total revenue of $58,033,865.00."
The Lieutenant of Inishmore,"The show 'The Lieutenant of Inishmore' ran from 2006-04-23 to 2006-09-03. It had an average weekly revenue of $190,405.35 and a total revenue of $3,808,107.00."
Faith Healer,"The show 'Faith Healer' ran from 2006-04-23 to 2006-08-13. It had an average weekly revenue of $446,085.18 and a total revenue of $7,583,448.00."
Bridge & Tunnel,"The show 'Bridge & Tunnel' ran from 2006-01-15 to 2006-08-06. It had an average weekly revenue of $204,518.50 and a total revenue of $6,135,555.00."
Hot Feet,"The show 'Hot Feet' ran from 2006-04-23 to 2006-07-23. It had an average weekly revenue of $269,053.29 and a total revenue of $3,766,746.00."
Shining City,"The show 'Shining City' ran from 2006-04-23 to 2006-07-16. It had an average weekly revenue of $247,467.85 and a total revenue of $3,217,082.00."
The Light in the Piazza,"The show 'The Light in the Piazza' ran from 2005-03-20 to 2006-07-02. It had an average weekly revenue of $423,193.10 and a total revenue of $28,777,131.00."
Awake and Sing!,"The show 'Awake and Sing!' ran from 2006-03-26 to 2006-06-25. It had an average weekly revenue of $241,724.36 and a total revenue of $3,384,141.00."
Threepenny Opera,"The show 'Threepenny Opera' ran from 1989-10-22 to 2006-06-25. It had an average weekly revenue of $421,114.20 and a total revenue of $10,527,855.00."
The Pajama Game,"The show 'The Pajama Game' ran from 2006-01-22 to 2006-06-18. It had an average weekly revenue of $403,872.91 and a total revenue of $8,885,204.00."
Three Days of Rain,"The show 'Three Days of Rain' ran from 2006-04-02 to 2006-06-18. It had an average weekly revenue of $949,345.64 and a total revenue of $10,442,802.00."
The Odd Couple,"The show 'The Odd Couple' ran from 1985-06-09 to 2006-06-04. It had an average weekly revenue of $472,539.11 and a total revenue of $34,495,355.00."
Lestat,"The show 'Lestat' ran from 2006-03-26 to 2006-05-28. It had an average weekly revenue of $463,041.90 and a total revenue of $4,630,419.00."
Barefoot in the Park,"The show 'Barefoot in the Park' ran from 2006-01-29 to 2006-05-21. It had an average weekly revenue of $264,785.59 and a total revenue of $4,501,355.00."
The Caine Mutiny Court-Martial,"The show 'The Caine Mutiny Court-Martial' ran from 2006-04-16 to 2006-05-21. It had an average weekly revenue of $157,633.83 and a total revenue of $945,803.00."
Festen,"The show 'Festen' ran from 2006-03-26 to 2006-05-21. It had an average weekly revenue of $205,994.00 and a total revenue of $1,853,946.00."
Well,"The show 'Well' ran from 2006-03-12 to 2006-05-14. It had an average weekly revenue of $116,228.80 and a total revenue of $1,162,288.00."
Ring of Fire,"The show 'Ring of Fire' ran from 2006-02-12 to 2006-04-30. It had an average weekly revenue of $231,260.00 and a total revenue of $2,775,120.00."
Rabbit Hole,"The show 'Rabbit Hole' ran from 2006-01-15 to 2006-04-09. It had an average weekly revenue of $246,408.08 and a total revenue of $3,203,305.00."
Chita Rivera: The Dancer's Life,"The show 'Chita Rivera: The Dancer's Life' ran from 2005-11-27 to 2006-02-19. It had an average weekly revenue of $274,109.23 and a total revenue of $3,563,420.00."
The Woman in White,"The show 'The Woman in White' ran from 2005-10-30 to 2006-02-19. It had an average weekly revenue of $614,433.41 and a total revenue of $10,445,368.00."
A Touch of the Poet,"The show 'A Touch of the Poet' ran from 2005-11-13 to 2006-01-29. It had an average weekly revenue of $300,803.83 and a total revenue of $3,609,646.00."
Seascape,"The show 'Seascape' ran from 2005-10-30 to 2006-01-08. It had an average weekly revenue of $138,794.82 and a total revenue of $1,526,743.00."
Souvenir,"The show 'Souvenir' ran from 2005-10-30 to 2006-01-08. It had an average weekly revenue of $85,994.09 and a total revenue of $945,935.00."
Chitty Chitty Bang Bang,"The show 'Chitty Chitty Bang Bang' ran from 2005-03-27 to 2006-01-01. It had an average weekly revenue of $670,963.54 and a total revenue of $27,509,505.00."
Latinologues,"The show 'Latinologues' ran from 2005-09-18 to 2006-01-01. It had an average weekly revenue of $69,017.00 and a total revenue of $1,104,272.00."
Sweet Charity,"The show 'Sweet Charity' ran from 1986-04-20 to 2006-01-01. It had an average weekly revenue of $395,667.12 and a total revenue of $34,027,372.00."
In My Life,"The show 'In My Life' ran from 2005-10-02 to 2005-12-11. It had an average weekly revenue of $141,560.36 and a total revenue of $1,557,164.00."
Movin' Out,"The show 'Movin' Out' ran from 2002-10-06 to 2005-12-11. It had an average weekly revenue of $598,321.56 and a total revenue of $99,919,701.00."
Absurd Person Singular,"The show 'Absurd Person Singular' ran from 2005-09-25 to 2005-12-04. It had an average weekly revenue of $165,108.73 and a total revenue of $1,816,196.00."
A Naked Girl on the Appian Way,"The show 'A Naked Girl on the Appian Way' ran from 2005-09-18 to 2005-12-04. It had an average weekly revenue of $256,878.42 and a total revenue of $3,082,541.00."
All Shook Up,"The show 'All Shook Up' ran from 2005-02-20 to 2005-09-25. It had an average weekly revenue of $451,484.09 and a total revenue of $14,447,491.00."
Lennon,"The show 'Lennon' ran from 2005-07-10 to 2005-09-25. It had an average weekly revenue of $299,723.75 and a total revenue of $3,596,685.00."
The Pillowman,"The show 'The Pillowman' ran from 2005-03-27 to 2005-09-18. It had an average weekly revenue of $344,084.08 and a total revenue of $8,946,186.00."
Jackie Mason: Freshly Squeezed,"The show 'Jackie Mason: Freshly Squeezed' ran from 2005-03-13 to 2005-09-04. It had an average weekly revenue of $114,026.46 and a total revenue of $2,964,688.00."
The Constant Wife,"The show 'The Constant Wife' ran from 2005-05-29 to 2005-08-21. It had an average weekly revenue of $258,885.08 and a total revenue of $3,365,506.00."
Primo,"The show 'Primo' ran from 2005-07-10 to 2005-08-14. It had an average weekly revenue of $325,449.83 and a total revenue of $1,952,699.00."
Steel Magnolias,"The show 'Steel Magnolias' ran from 2005-03-20 to 2005-07-31. It had an average weekly revenue of $206,981.10 and a total revenue of $4,139,622.00."
The Blonde in the Thunderbird,"The show 'The Blonde in the Thunderbird' ran from 2005-07-10 to 2005-07-24. It had an average weekly revenue of $63,721.67 and a total revenue of $191,165.00."
After the Night and the Music,"The show 'After the Night and the Music' ran from 2005-05-01 to 2005-07-03. It had an average weekly revenue of $155,831.30 and a total revenue of $1,558,313.00."
Brooklyn,"The show 'Brooklyn' ran from 2004-09-26 to 2005-06-26. It had an average weekly revenue of $252,715.00 and a total revenue of $10,108,600.00."
Mark Twain Tonight!,"The show 'Mark Twain Tonight!' ran from 2005-06-12 to 2005-06-26. It had an average weekly revenue of $205,822.67 and a total revenue of $617,468.00."
On Golden Pond,"The show 'On Golden Pond' ran from 2005-03-27 to 2005-06-26. It had an average weekly revenue of $210,539.36 and a total revenue of $2,947,551.00."
Julius Caesar,"The show 'Julius Caesar' ran from 2005-03-13 to 2005-06-12. It had an average weekly revenue of $610,221.64 and a total revenue of $8,543,103.00."
Love/Life,"The show 'Love/Life' ran from 2005-05-01 to 2005-05-29. It had an average weekly revenue of $56,096.00 and a total revenue of $280,480.00."
Little Women,"The show 'Little Women' ran from 2004-12-12 to 2005-05-22. It had an average weekly revenue of $408,053.38 and a total revenue of $9,793,281.00."
Twelve Angry Men,"The show 'Twelve Angry Men' ran from 2004-10-03 to 2005-05-15. It had an average weekly revenue of $282,593.00 and a total revenue of $9,325,569.00."
Dame Edna: Back with a Vengeance,"The show 'Dame Edna: Back with a Vengeance' ran from 2004-11-07 to 2005-05-01. It had an average weekly revenue of $270,071.27 and a total revenue of $7,021,853.00."
Good Vibrations,"The show 'Good Vibrations' ran from 2004-12-26 to 2005-04-24. It had an average weekly revenue of $303,699.59 and a total revenue of $5,162,893.00."
Democracy,"The show 'Democracy' ran from 2004-11-07 to 2005-04-17. It had an average weekly revenue of $295,486.54 and a total revenue of $7,091,677.00."
Brooklyn Boy,"The show 'Brooklyn Boy' ran from 2005-01-16 to 2005-03-27. It had an average weekly revenue of $194,151.64 and a total revenue of $2,135,668.00."
Gem of the Ocean,"The show 'Gem of the Ocean' ran from 2004-11-28 to 2005-02-06. It had an average weekly revenue of $234,320.91 and a total revenue of $2,577,530.00."
Pacific Overtures,"The show 'Pacific Overtures' ran from 2004-11-14 to 2005-01-30. It had an average weekly revenue of $314,169.67 and a total revenue of $3,770,036.00."
Whoopi,"The show 'Whoopi' ran from 2004-11-07 to 2005-01-30. It had an average weekly revenue of $198,791.46 and a total revenue of $2,584,289.00."
Wonderful Town,"The show 'Wonderful Town' ran from 2003-11-09 to 2005-01-30. It had an average weekly revenue of $458,927.00 and a total revenue of $29,830,255.00."
The Rivals,"The show 'The Rivals' ran from 2004-11-28 to 2005-01-23. It had an average weekly revenue of $252,794.67 and a total revenue of $2,275,152.00."
'night Mother,"The show ''night Mother' ran from 2004-10-24 to 2005-01-09. It had an average weekly revenue of $167,623.33 and a total revenue of $2,011,480.00."
42nd Street,"The show '42nd Street' ran from 1985-06-09 to 2005-01-02. It had an average weekly revenue of $465,681.18 and a total revenue of $177,424,529.00."
Bombay Dreams,"The show 'Bombay Dreams' ran from 2004-04-04 to 2005-01-02. It had an average weekly revenue of $560,939.47 and a total revenue of $22,437,579.00."
Dracula the Musical,"The show 'Dracula the Musical' ran from 2004-08-01 to 2005-01-02. It had an average weekly revenue of $265,631.57 and a total revenue of $6,109,526.00."
Golda's Balcony,"The show 'Golda's Balcony' ran from 2003-10-05 to 2005-01-02. It had an average weekly revenue of $143,225.49 and a total revenue of $9,309,657.00."
Laugh Whore,"The show 'Laugh Whore' ran from 2004-10-17 to 2005-01-02. It had an average weekly revenue of $152,375.08 and a total revenue of $1,828,501.00."
The Good Body,"The show 'The Good Body' ran from 2004-10-24 to 2004-12-19. It had an average weekly revenue of $93,670.56 and a total revenue of $843,035.00."
Reckless,"The show 'Reckless' ran from 2004-09-26 to 2004-12-19. It had an average weekly revenue of $231,130.00 and a total revenue of $3,004,690.00."
Marc Salem's Mind Games on Broadway,"The show 'Marc Salem's Mind Games on Broadway' ran from 2004-05-23 to 2004-11-28. It had an average weekly revenue of $11,995.71 and a total revenue of $287,897.00."
I Am My Own Wife,"The show 'I Am My Own Wife' ran from 2003-11-16 to 2004-10-31. It had an average weekly revenue of $173,120.29 and a total revenue of $8,482,894.00."
The Frogs,"The show 'The Frogs' ran from 2004-06-27 to 2004-10-03. It had an average weekly revenue of $478,512.53 and a total revenue of $7,177,688.00."
After the Fall,"The show 'After the Fall' ran from 2004-06-27 to 2004-09-12. It had an average weekly revenue of $249,873.83 and a total revenue of $2,998,486.00."
The Boy from Oz,"The show 'The Boy from Oz' ran from 2003-09-21 to 2004-09-12. It had an average weekly revenue of $838,006.63 and a total revenue of $42,738,338.00."
Aida,"The show 'Aida' ran from 2000-02-27 to 2004-09-05. It had an average weekly revenue of $699,806.71 and a total revenue of $164,454,577.00."
Sly Fox,"The show 'Sly Fox' ran from 2004-03-14 to 2004-08-29. It had an average weekly revenue of $324,843.08 and a total revenue of $8,121,077.00."
Little Shop of Horrors,"The show 'Little Shop of Horrors' ran from 2003-08-31 to 2004-08-22. It had an average weekly revenue of $396,299.79 and a total revenue of $20,607,589.00."
Sight Unseen,"The show 'Sight Unseen' ran from 2004-05-09 to 2004-07-25. It had an average weekly revenue of $227,051.17 and a total revenue of $2,724,614.00."
Assassins,"The show 'Assassins' ran from 2004-04-04 to 2004-07-18. It had an average weekly revenue of $376,523.94 and a total revenue of $6,024,383.00."
Jumpers,"The show 'Jumpers' ran from 2004-04-11 to 2004-07-11. It had an average weekly revenue of $282,654.14 and a total revenue of $3,957,158.00."
Thoroughly Modern Millie,"The show 'Thoroughly Modern Millie' ran from 2002-03-24 to 2004-06-20. It had an average weekly revenue of $640,001.47 and a total revenue of $74,240,171.00."
Twentieth Century,"The show 'Twentieth Century' ran from 2004-03-07 to 2004-06-06. It had an average weekly revenue of $276,368.64 and a total revenue of $3,869,161.00."
Match,"The show 'Match' ran from 2004-03-14 to 2004-05-23. It had an average weekly revenue of $212,105.09 and a total revenue of $2,333,156.00."
Prymate,"The show 'Prymate' ran from 2004-04-18 to 2004-05-09. It had an average weekly revenue of $27,963.75 and a total revenue of $111,855.00."
Sixteen Wounded,"The show 'Sixteen Wounded' ran from 2004-03-28 to 2004-04-25. It had an average weekly revenue of $101,876.20 and a total revenue of $509,381.00."
Barbara Cook's Broadway!,"The show 'Barbara Cook's Broadway!' ran from 2004-03-21 to 2004-04-18. It had an average weekly revenue of $109,609.25 and a total revenue of $438,437.00."
Drowning Crow,"The show 'Drowning Crow' ran from 2004-02-01 to 2004-04-04. It had an average weekly revenue of $161,925.50 and a total revenue of $1,619,255.00."
The Retreat from Moscow,"The show 'The Retreat from Moscow' ran from 2003-10-05 to 2004-02-29. It had an average weekly revenue of $204,382.05 and a total revenue of $4,496,405.00."
Anna in the Tropics,"The show 'Anna in the Tropics' ran from 2003-11-09 to 2004-02-22. It had an average weekly revenue of $194,724.50 and a total revenue of $3,115,592.00."
Never Gonna Dance,"The show 'Never Gonna Dance' ran from 2003-11-02 to 2004-02-15. It had an average weekly revenue of $392,989.75 and a total revenue of $6,287,836.00."
Taboo,"The show 'Taboo' ran from 2003-11-02 to 2004-02-08. It had an average weekly revenue of $326,333.20 and a total revenue of $4,894,998.00."
Henry IV,"The show 'Henry IV' ran from 2003-11-02 to 2004-01-18. It had an average weekly revenue of $405,853.50 and a total revenue of $4,870,242.00."
Urinetown The Musical,"The show 'Urinetown The Musical' ran from 2001-09-02 to 2004-01-18. It had an average weekly revenue of $277,616.51 and a total revenue of $34,146,831.00."
The Caretaker,"The show 'The Caretaker' ran from 1986-01-19 to 2004-01-04. It had an average weekly revenue of $182,841.67 and a total revenue of $2,194,100.00."
The Violet Hour,"The show 'The Violet Hour' ran from 2003-10-19 to 2003-12-21. It had an average weekly revenue of $203,798.10 and a total revenue of $2,037,981.00."
Nine,"The show 'Nine' ran from 2003-03-23 to 2003-12-14. It had an average weekly revenue of $626,891.26 and a total revenue of $24,448,759.00."
Sexaholix,"The show 'Sexaholix' ran from 2001-10-14 to 2003-12-07. It had an average weekly revenue of $287,648.41 and a total revenue of $6,328,265.00."
Jackie Mason's Laughing Room Only,"The show 'Jackie Mason's Laughing Room Only' ran from 2003-10-26 to 2003-11-30. It had an average weekly revenue of $169,271.50 and a total revenue of $1,015,629.00."
Oldest Living Confederate Widow Tells All,"The show 'Oldest Living Confederate Widow Tells All' ran from 2003-11-09 to 2003-11-23. It had an average weekly revenue of $59,489.33 and a total revenue of $178,468.00."
Six Dance Lessons in Six Weeks,"The show 'Six Dance Lessons in Six Weeks' ran from 2003-10-12 to 2003-11-23. It had an average weekly revenue of $102,393.00 and a total revenue of $716,751.00."
Bobbi Boland,"The show 'Bobbi Boland' ran from 2003-11-09 to 2003-11-09. It had an average weekly revenue of $100,389.00 and a total revenue of $100,389.00."
Big River,"The show 'Big River' ran from 1985-06-09 to 2003-09-21. It had an average weekly revenue of $217,581.77 and a total revenue of $28,720,794.00."
Enchanted April,"The show 'Enchanted April' ran from 2003-04-13 to 2003-08-31. It had an average weekly revenue of $166,290.90 and a total revenue of $3,492,109.00."
Man of La Mancha,"The show 'Man of La Mancha' ran from 1992-04-05 to 2003-08-31. It had an average weekly revenue of $525,898.98 and a total revenue of $30,502,141.00."
Say Goodnight Gracie,"The show 'Say Goodnight Gracie' ran from 2002-09-22 to 2003-08-24. It had an average weekly revenue of $119,890.10 and a total revenue of $5,874,615.00."
"""Master Harold""...and the Boys","The show '""Master Harold""...and the Boys' ran from 2003-05-11 to 2003-07-13. It had an average weekly revenue of $227,629.50 and a total revenue of $2,276,295.00."
La Bohème,"The show 'La Bohème' ran from 2002-12-01 to 2003-06-29. It had an average weekly revenue of $670,126.48 and a total revenue of $20,773,921.00."
Life x 3,"The show 'Life x 3' ran from 2003-03-16 to 2003-06-29. It had an average weekly revenue of $285,680.00 and a total revenue of $4,570,880.00."
The Look of Love,"The show 'The Look of Love' ran from 2003-04-06 to 2003-06-15. It had an average weekly revenue of $213,145.45 and a total revenue of $2,344,600.00."
The Play What I Wrote,"The show 'The Play What I Wrote' ran from 2003-03-09 to 2003-06-15. It had an average weekly revenue of $168,730.07 and a total revenue of $2,530,951.00."
Salome,"The show 'Salome' ran from 2003-04-13 to 2003-06-15. It had an average weekly revenue of $370,242.80 and a total revenue of $3,702,428.00."
A Year with Frog and Toad,"The show 'A Year with Frog and Toad' ran from 2003-04-06 to 2003-06-15. It had an average weekly revenue of $157,856.45 and a total revenue of $1,736,421.00."
As Long as We Both Shall Laugh,"The show 'As Long as We Both Shall Laugh' ran from 2003-02-23 to 2003-06-01. It had an average weekly revenue of $23,605.50 and a total revenue of $330,477.00."
A Day in the Death of Joe Egg,"The show 'A Day in the Death of Joe Egg' ran from 2003-03-16 to 2003-06-01. It had an average weekly revenue of $239,539.75 and a total revenue of $2,874,477.00."
Bill Maher: Victory Begins at Home,"The show 'Bill Maher: Victory Begins at Home' ran from 2003-05-04 to 2003-05-18. It had an average weekly revenue of $177,953.67 and a total revenue of $533,861.00."
Urban Cowboy,"The show 'Urban Cowboy' ran from 2003-03-02 to 2003-05-18. It had an average weekly revenue of $107,388.92 and a total revenue of $1,288,667.00."
Russell Simmons Def Poetry Jam,"The show 'Russell Simmons Def Poetry Jam' ran from 2002-11-03 to 2003-05-04. It had an average weekly revenue of $125,096.19 and a total revenue of $3,377,597.00."
Vincent in Brixton,"The show 'Vincent in Brixton' ran from 2003-02-16 to 2003-05-04. It had an average weekly revenue of $159,665.75 and a total revenue of $1,915,989.00."
Ma Rainey's Black Bottom,"The show 'Ma Rainey's Black Bottom' ran from 2003-01-26 to 2003-04-06. It had an average weekly revenue of $220,655.82 and a total revenue of $2,427,214.00."
Flower Drum Song,"The show 'Flower Drum Song' ran from 2002-09-29 to 2003-03-16. It had an average weekly revenue of $444,698.62 and a total revenue of $10,672,767.00."
The Graduate,"The show 'The Graduate' ran from 2002-03-17 to 2003-03-02. It had an average weekly revenue of $349,704.08 and a total revenue of $17,834,908.00."
Medea,"The show 'Medea' ran from 1994-04-03 to 2003-02-23. It had an average weekly revenue of $235,585.00 and a total revenue of $5,889,625.00."
Tartuffe,"The show 'Tartuffe' ran from 1996-06-02 to 2003-02-23. It had an average weekly revenue of $175,663.44 and a total revenue of $2,810,615.00."
Imaginary Friends,"The show 'Imaginary Friends' ran from 2002-12-01 to 2003-02-16. It had an average weekly revenue of $238,162.50 and a total revenue of $2,857,950.00."
Metamorphoses,"The show 'Metamorphoses' ran from 2002-02-24 to 2003-02-16. It had an average weekly revenue of $200,514.00 and a total revenue of $10,226,214.00."
Dinner at Eight,"The show 'Dinner at Eight' ran from 2002-11-24 to 2003-01-26. It had an average weekly revenue of $260,684.40 and a total revenue of $2,606,844.00."
Our Town,"The show 'Our Town' ran from 1988-11-13 to 2003-01-26. It had an average weekly revenue of $173,638.52 and a total revenue of $5,382,794.00."
Dance of the Vampires,"The show 'Dance of the Vampires' ran from 2002-10-20 to 2003-01-19. It had an average weekly revenue of $639,417.57 and a total revenue of $8,951,846.00."
Hollywood Arms,"The show 'Hollywood Arms' ran from 2002-10-13 to 2003-01-05. It had an average weekly revenue of $157,218.08 and a total revenue of $2,043,835.00."
Proof,"The show 'Proof' ran from 2000-10-15 to 2003-01-05. It had an average weekly revenue of $282,036.98 and a total revenue of $32,716,290.00."
The Goat or Who Is Sylvia?,"The show 'The Goat or Who Is Sylvia?' ran from 2002-02-17 to 2002-12-15. It had an average weekly revenue of $184,476.23 and a total revenue of $7,932,478.00."
Prune Danish,"The show 'Prune Danish' ran from 2002-10-13 to 2002-12-01. It had an average weekly revenue of $260,056.00 and a total revenue of $2,080,448.00."
Amour,"The show 'Amour' ran from 2002-09-22 to 2002-11-03. It had an average weekly revenue of $191,199.86 and a total revenue of $1,338,399.00."
The Boys from Syracuse,"The show 'The Boys from Syracuse' ran from 2002-07-28 to 2002-10-20. It had an average weekly revenue of $252,775.00 and a total revenue of $3,286,075.00."
The Tale of the Allergist's Wife,"The show 'The Tale of the Allergist's Wife' ran from 2000-10-15 to 2002-09-15. It had an average weekly revenue of $290,205.22 and a total revenue of $29,310,727.00."
I'm Not Rappaport,"The show 'I'm Not Rappaport' ran from 1985-11-24 to 2002-09-08. It had an average weekly revenue of $129,052.16 and a total revenue of $15,744,363.00."
Contact,"The show 'Contact' ran from 2000-03-05 to 2002-09-01. It had an average weekly revenue of $455,430.04 and a total revenue of $58,295,045.00."
The Full Monty,"The show 'The Full Monty' ran from 2000-10-01 to 2002-09-01. It had an average weekly revenue of $473,881.40 and a total revenue of $47,862,021.00."
Mostly Sondheim,"The show 'Mostly Sondheim' ran from 2001-12-30 to 2002-08-25. It had an average weekly revenue of $66,794.72 and a total revenue of $1,202,305.00."
Morning's at Seven,"The show 'Morning's at Seven' ran from 2002-03-31 to 2002-07-28. It had an average weekly revenue of $153,685.56 and a total revenue of $2,766,340.00."
Fortune's Fool,"The show 'Fortune's Fool' ran from 2002-03-10 to 2002-07-21. It had an average weekly revenue of $218,538.05 and a total revenue of $4,152,223.00."
The Man Who Had All the Luck,"The show 'The Man Who Had All the Luck' ran from 2002-04-21 to 2002-06-30. It had an average weekly revenue of $237,319.82 and a total revenue of $2,610,518.00."
